actual_label,predicted_label,reconstruction_error,flagged_as_anomaly
neptune,neptune,0.5890425,1
neptune,neptune,0.6809621,1
normal,normal,0.047562987,0
normal,normal,0.0041711368,0
smurf,normal,0.027908307,0
neptune,neptune,0.57269967,1
normal,normal,0.0005370228,0
neptune,neptune,0.3542951,1
neptune,neptune,0.45180315,1
normal,normal,0.0008322648,0
normal,normal,0.017845241,0
normal,normal,0.0043333382,0
nmap,nmap,0.6183524,1
normal,normal,0.008663791,0
warezclient,normal,0.041544702,0
neptune,neptune,0.5275776,1
neptune,neptune,0.5807031,1
normal,normal,0.0014513643,0
neptune,neptune,0.740568,1
neptune,neptune,0.7410741,1
neptune,neptune,0.59383434,1
normal,normal,0.01906956,0
normal,normal,0.033261683,0
neptune,neptune,0.560684,1
ipsweep,ipsweep,0.2763374,1
neptune,neptune,0.69388956,1
normal,normal,0.0007817366,0
normal,normal,0.052280165,0
normal,normal,0.024024338,0
normal,warezclient,0.16156438,1
neptune,neptune,0.70269126,1
portsweep,portsweep,0.34671968,1
normal,normal,0.019228514,0
normal,normal,0.00439115,0
normal,normal,0.04314927,0
normal,normal,0.0009891476,0
neptune,neptune,0.52905035,1
normal,normal,0.051589344,0
smurf,smurf,0.165551,1
neptune,neptune,0.45645213,1
neptune,neptune,0.5705627,1
neptune,neptune,0.7359494,1
normal,normal,0.04551701,0
satan,satan,1.3887433,1
satan,satan,0.1268339,1
neptune,neptune,0.7322956,1
normal,normal,0.036756758,0
normal,normal,0.024118146,0
normal,normal,0.0054387464,0
normal,normal,0.0040568947,0
teardrop,teardrop,3.824781,1
neptune,neptune,0.55328655,1
neptune,neptune,0.5651061,1
neptune,neptune,0.5808043,1
normal,normal,0.025672937,0
normal,normal,0.0004495495,0
warezclient,warezclient,1.3795315,1
normal,normal,0.0021581072,0
neptune,neptune,0.6615078,1
neptune,neptune,0.6582446,1
normal,normal,0.001872288,0
normal,warezclient,0.08879187,1
normal,normal,0.007718884,0
normal,normal,0.027630094,0
portsweep,portsweep,1.2604741,1
normal,normal,0.0026877008,0
normal,normal,0.00074014295,0
neptune,neptune,0.59352344,1
normal,normal,0.0015092307,0
normal,normal,0.012479576,0
normal,normal,0.0029307967,0
normal,warezclient,0.08141427,1
neptune,neptune,0.63781476,1
normal,normal,0.0028354176,0
normal,phf,0.090392716,1
neptune,neptune,0.5778222,1
satan,satan,0.8528577,1
pod,pod,0.5356533,1
neptune,neptune,0.7202629,1
normal,normal,0.0009472912,0
neptune,neptune,0.71458036,1
neptune,neptune,0.59383345,1
normal,normal,0.0008827194,0
normal,normal,0.0016361333,0
normal,normal,0.0011119636,0
normal,normal,0.0057895165,0
normal,normal,0.002962907,0
neptune,neptune,0.5832947,1
warezclient,normal,0.040462647,0
neptune,neptune,0.68266916,1
ipsweep,ipsweep,0.28837344,1
normal,normal,0.00095078547,0
normal,normal,0.0014959716,0
neptune,neptune,0.5740197,1
normal,back,0.12683345,1
normal,normal,0.033781465,0
normal,normal,0.009621253,0
normal,normal,0.0020970763,0
normal,normal,0.02795241,0
teardrop,teardrop,3.6933558,1
normal,normal,0.0053811413,0
neptune,neptune,0.451953,1
neptune,neptune,0.67742175,1
neptune,neptune,0.5843875,1
normal,normal,0.007472686,0
normal,normal,0.00073011534,0
normal,normal,0.03807186,0
ipsweep,ipsweep,0.20329015,1
neptune,neptune,0.72788894,1
neptune,neptune,0.55593735,1
neptune,neptune,0.71954536,1
normal,normal,0.00220871,0
neptune,neptune,0.6104533,1
ipsweep,ipsweep,0.27927646,1
neptune,neptune,0.7467427,1
normal,normal,0.0014488263,0
ipsweep,ipsweep,0.2824331,1
normal,normal,0.010275797,0
normal,normal,0.0013328999,0
portsweep,portsweep,0.34934244,1
nmap,nmap,0.61835235,1
smurf,normal,0.019681888,0
normal,normal,0.01250366,0
normal,normal,0.002744816,0
portsweep,portsweep,0.18298846,1
normal,normal,0.0019973025,0
neptune,neptune,0.64710736,1
normal,normal,0.005545443,0
normal,normal,0.00080690207,0
neptune,neptune,0.47254664,1
normal,normal,0.02008532,0
normal,normal,0.001273271,0
normal,normal,0.0007401495,0
normal,normal,0.011057892,0
ipsweep,ipsweep,0.3300646,1
neptune,neptune,0.64990604,1
normal,normal,0.0010953865,0
neptune,neptune,0.46439913,1
normal,normal,0.040134672,0
normal,normal,0.011760991,0
normal,normal,0.01459701,0
normal,normal,0.0011428231,0
neptune,neptune,0.6990729,1
neptune,neptune,0.6952596,1
normal,spy,0.16422063,1
normal,normal,0.0004714747,0
normal,normal,0.0025426103,0
neptune,neptune,0.54376775,1
normal,normal,0.0130029665,0
normal,normal,0.0015314225,0
neptune,neptune,0.58310884,1
normal,normal,0.0030450027,0
neptune,neptune,0.7505229,1
neptune,neptune,0.6391632,1
normal,normal,0.00045310776,0
portsweep,portsweep,1.4506725,1
normal,portsweep,0.13504,1
neptune,neptune,0.5962631,1
neptune,neptune,0.5824103,1
normal,normal,0.0014519044,0
normal,normal,0.00494111,0
normal,normal,0.0016598097,0
normal,normal,0.0007692475,0
nmap,nmap,0.13364321,1
normal,normal,0.050718475,0
neptune,neptune,0.54662436,1
normal,normal,0.010812545,0
neptune,neptune,0.42837906,1
neptune,neptune,0.53656673,1
warezclient,warezclient,0.2623332,1
normal,normal,0.00068739144,0
ipsweep,ipsweep,0.28477624,1
normal,neptune,0.06829548,1
normal,normal,0.00076707936,0
portsweep,portsweep,0.17082529,1
normal,normal,0.006592367,0
neptune,neptune,0.59295875,1
normal,normal,0.006209678,0
neptune,neptune,0.34099236,1
neptune,neptune,0.6781179,1
normal,normal,0.000618557,0
smurf,normal,0.030996002,0
ipsweep,ipsweep,0.2799666,1
satan,satan,0.48556247,1
normal,normal,0.034524858,0
neptune,neptune,0.6922807,1
normal,normal,0.0058043264,0
neptune,neptune,0.74508154,1
neptune,neptune,0.6224172,1
neptune,neptune,0.63109285,1
normal,warezclient,0.19742334,1
neptune,neptune,0.57714736,1
normal,normal,0.0005646379,0
normal,normal,0.00084910466,0
normal,normal,0.015584006,0
normal,normal,0.0075903833,0
portsweep,portsweep,0.70867217,1
portsweep,portsweep,0.25277448,1
normal,normal,0.005811592,0
normal,normal,0.0039752983,0
neptune,neptune,0.7008447,1
normal,normal,0.00064531964,0
normal,normal,0.00508255,0
normal,normal,0.00083320914,0
neptune,neptune,0.5836027,1
neptune,neptune,0.34955665,1
normal,normal,0.0010500274,0
neptune,neptune,0.69050634,1
normal,normal,0.008287646,0
normal,normal,0.0016642362,0
neptune,neptune,0.6467296,1
normal,normal,0.021755692,0
neptune,neptune,0.65263516,1
normal,ipsweep,0.067049615,1
neptune,neptune,0.7077259,1
ipsweep,ipsweep,1.0710084,1
portsweep,portsweep,0.6601971,1
normal,normal,0.001099196,0
neptune,neptune,0.7347334,1
normal,normal,0.0006055793,0
satan,satan,1.4179893,1
normal,normal,0.0006237438,0
neptune,neptune,0.6150922,1
normal,normal,0.0014222553,0
neptune,neptune,0.4427197,1
normal,normal,0.019093279,0
normal,normal,0.03152885,0
normal,normal,0.0009912039,0
neptune,neptune,0.5774109,1
normal,normal,0.020539442,0
normal,normal,0.00041266772,0
ipsweep,ipsweep,0.44623572,1
back,normal,0.02116549,0
normal,normal,0.0010681682,0
neptune,neptune,0.45088577,1
neptune,neptune,0.7166548,1
normal,normal,0.001112989,0
normal,normal,0.0022242188,0
normal,normal,0.0035399788,0
neptune,neptune,0.6361754,1
normal,normal,0.00066174363,0
neptune,neptune,0.5833701,1
normal,normal,0.036756758,0
normal,normal,0.021752184,0
normal,normal,0.017848343,0
neptune,neptune,0.61939603,1
normal,normal,0.007795882,0
neptune,neptune,0.58015853,1
normal,ipsweep,0.0691164,1
neptune,neptune,0.5218485,1
neptune,neptune,0.589464,1
normal,normal,0.002187629,0
neptune,neptune,0.59434944,1
normal,normal,0.01806671,0
normal,normal,0.0008386058,0
normal,normal,0.0025994242,0
normal,normal,0.0010502716,0
normal,satan,0.09676335,1
neptune,neptune,0.66767335,1
neptune,neptune,0.73347116,1
neptune,neptune,0.673708,1
neptune,neptune,0.58610135,1
portsweep,portsweep,1.1292305,1
neptune,neptune,0.5409791,1
ipsweep,normal,0.04614601,0
normal,normal,0.029523555,0
normal,normal,0.0007165482,0
neptune,neptune,0.6966487,1
normal,normal,0.011910683,0
normal,normal,0.005822767,0
ipsweep,ipsweep,0.2717602,1
normal,imap,10.767169,1
normal,normal,0.0016846182,0
normal,normal,0.0057602613,0
neptune,neptune,0.6967947,1
neptune,neptune,0.49963555,1
normal,normal,0.035454795,0
neptune,neptune,0.34768024,1
normal,normal,0.0014488192,0
normal,normal,0.0014917394,0
neptune,neptune,0.60002375,1
normal,normal,0.03799366,0
normal,ipsweep,0.19726916,1
neptune,neptune,0.7339702,1
neptune,neptune,0.6496169,1
neptune,neptune,0.73736477,1
normal,normal,0.001570029,0
neptune,neptune,0.34570825,1
neptune,neptune,0.70178735,1
satan,satan,0.09794371,1
teardrop,teardrop,3.6946893,1
normal,normal,0.0012029363,0
smurf,smurf,0.13154653,1
normal,normal,0.029840758,0
normal,normal,0.015715137,0
ipsweep,ipsweep,1.0728731,1
normal,normal,0.0043581836,0
smurf,smurf,0.14880249,1
neptune,neptune,0.5614295,1
normal,normal,0.00080121,0
normal,normal,0.006474955,0
normal,normal,0.0017477166,0
normal,normal,0.00067760894,0
normal,normal,0.008060754,0
normal,normal,0.0006520732,0
normal,normal,0.00065931206,0
neptune,neptune,0.3458294,1
normal,normal,0.0012958751,0
neptune,neptune,0.6415947,1
neptune,neptune,0.60641843,1
normal,normal,0.0022962794,0
normal,normal,0.002313347,0
smurf,smurf,0.17447567,1
teardrop,teardrop,3.7181008,1
neptune,neptune,0.59470415,1
normal,normal,0.0005369679,0
normal,normal,0.0074109356,0
normal,normal,0.006641804,0
neptune,neptune,0.57306266,1
neptune,neptune,0.51010466,1
neptune,neptune,0.7190557,1
normal,normal,0.0013002778,0
neptune,neptune,0.29513997,1
normal,normal,0.0005322935,0
neptune,neptune,0.64897984,1
neptune,neptune,0.69033545,1
normal,normal,0.016816853,0
normal,warezclient,0.1373245,1
neptune,neptune,0.5528998,1
normal,normal,0.0011780829,0
normal,normal,0.0010004009,0
neptune,neptune,0.57104445,1
back,normal,0.04252478,0
neptune,neptune,0.6439498,1
normal,normal,0.006902425,0
normal,normal,0.0031573887,0
neptune,neptune,0.6420128,1
normal,normal,0.008774944,0
neptune,neptune,0.33873034,1
normal,normal,0.0030552677,0
neptune,neptune,0.659034,1
normal,normal,0.007827786,0
normal,normal,0.029741392,0
neptune,neptune,0.59952885,1
ipsweep,ipsweep,0.26997244,1
normal,normal,0.009108404,0
neptune,neptune,0.37433547,1
neptune,neptune,0.64034903,1
neptune,neptune,0.70488274,1
normal,normal,0.00061928923,0
portsweep,portsweep,0.29201654,1
normal,normal,0.0013217208,0
normal,normal,0.002799802,0
satan,satan,1.4509315,1
neptune,neptune,0.69749945,1
normal,normal,0.006533731,0
neptune,neptune,0.591265,1
normal,normal,0.017784607,0
normal,normal,0.009518329,0
normal,normal,0.04140308,0
normal,normal,0.023647116,0
neptune,neptune,0.58666587,1
normal,normal,0.026159085,0
normal,normal,0.029270947,0
normal,normal,0.00041781508,0
normal,normal,0.00044207205,0
normal,normal,0.004446441,0
normal,normal,0.04135785,0
neptune,neptune,0.6387488,1
normal,normal,0.0010688556,0
normal,normal,0.010205355,0
normal,normal,0.040201552,0
warezclient,warezclient,0.17664896,1
ipsweep,ipsweep,0.2813691,1
normal,normal,0.0056662178,0
portsweep,portsweep,1.1738691,1
normal,warezclient,0.08787844,1
normal,normal,0.033662867,0
normal,normal,0.0009572937,0
normal,normal,0.00043416073,0
normal,normal,0.0008850473,0
normal,nmap,0.08775586,1
neptune,neptune,0.70475936,1
neptune,neptune,0.563631,1
normal,normal,0.000541727,0
normal,normal,0.0056079756,0
neptune,neptune,0.6588295,1
normal,normal,0.0021029946,0
neptune,neptune,0.51394314,1
normal,normal,0.004012175,0
normal,normal,0.02302984,0
normal,warezclient,0.17135333,1
neptune,neptune,0.65968305,1
normal,satan,0.063979,1
portsweep,portsweep,0.47713697,1
neptune,neptune,0.47349063,1
satan,satan,0.118503846,1
neptune,neptune,0.598239,1
neptune,neptune,0.6950252,1
normal,satan,0.12196686,1
neptune,neptune,0.54945695,1
normal,back,0.30052814,1
neptune,neptune,0.548946,1
normal,warezclient,0.101606935,1
neptune,neptune,0.3574027,1
normal,normal,0.0044973176,0
neptune,neptune,0.67571723,1
neptune,neptune,0.581954,1
normal,normal,0.0058222474,0
normal,normal,0.008957419,0
normal,normal,0.0008197535,0
normal,normal,0.003285015,0
normal,normal,0.002618619,0
neptune,neptune,0.59440815,1
normal,normal,0.014674205,0
neptune,neptune,0.5125853,1
warezclient,normal,0.04779203,0
ipsweep,ipsweep,0.2700223,1
normal,normal,0.0017062672,0
neptune,neptune,0.53302896,1
normal,normal,0.039616056,0
normal,normal,0.012270081,0
ipsweep,ipsweep,0.4623692,1
neptune,neptune,0.5845665,1
neptune,neptune,0.3402382,1
neptune,neptune,0.6726,1
normal,normal,0.040005606,0
neptune,neptune,0.4654017,1
normal,normal,0.0036145614,0
normal,normal,0.001976451,0
neptune,neptune,0.71215785,1
neptune,neptune,0.5512725,1
normal,normal,0.001491902,0
smurf,normal,0.045385744,0
neptune,neptune,0.6530538,1
normal,normal,0.0025894209,0
ipsweep,normal,0.05528946,0
neptune,neptune,0.58498025,1
neptune,neptune,0.5692234,1
neptune,neptune,0.70899606,1
normal,normal,0.0013965922,0
normal,normal,0.03359225,0
normal,normal,0.034577243,0
neptune,neptune,0.5290485,1
normal,normal,0.00308098,0
normal,normal,0.003849246,0
normal,normal,0.0039492063,0
warezclient,warezclient,0.15457435,1
neptune,neptune,0.4243946,1
normal,normal,0.0027612976,0
normal,normal,0.017304946,0
normal,warezclient,0.09642444,1
ipsweep,ipsweep,0.432053,1
normal,normal,0.0024193968,0
normal,normal,0.00043411466,0
neptune,neptune,0.68998414,1
normal,normal,0.00040067712,0
portsweep,portsweep,1.5146273,1
neptune,neptune,0.6586547,1
normal,nmap,0.100005,1
normal,normal,0.0052244477,0
neptune,neptune,0.6702528,1
normal,normal,0.013225454,0
neptune,neptune,0.5784806,1
normal,normal,0.013814104,0
neptune,neptune,0.5806785,1
neptune,neptune,0.5529329,1
normal,normal,0.04905101,0
neptune,neptune,0.5903265,1
ipsweep,ipsweep,0.1604495,1
normal,normal,0.0004794135,0
portsweep,portsweep,0.41757095,1
neptune,neptune,0.59736574,1
back,normal,0.04524621,0
normal,normal,0.0004616636,0
neptune,neptune,0.42758143,1
normal,normal,0.0013104652,0
neptune,neptune,0.4478812,1
normal,normal,0.002921925,0
normal,normal,0.0058485903,0
normal,normal,0.0038474307,0
neptune,neptune,0.5799496,1
ipsweep,ipsweep,1.0882889,1
normal,normal,0.001687519,0
normal,normal,0.011799219,0
back,normal,0.02552305,0
normal,normal,0.02135772,0
portsweep,portsweep,0.27935946,1
portsweep,portsweep,1.1265432,1
normal,normal,0.001969316,0
neptune,neptune,0.58284056,1
neptune,neptune,0.583786,1
neptune,neptune,0.7186491,1
neptune,neptune,0.64914626,1
normal,normal,0.0074707787,0
neptune,neptune,0.31137127,1
normal,normal,0.01624714,0
portsweep,portsweep,1.4596106,1
normal,normal,0.03486621,0
normal,normal,0.0016388344,0
neptune,neptune,0.71245915,1
normal,normal,0.040718067,0
normal,normal,0.0010543405,0
normal,normal,0.0034063712,0
neptune,neptune,0.73680526,1
normal,normal,0.0021485884,0
neptune,neptune,0.49341428,1
normal,normal,0.0014205262,0
normal,normal,0.00062815903,0
portsweep,portsweep,0.12846594,1
normal,normal,0.019425433,0
neptune,neptune,0.7445763,1
neptune,neptune,0.61170673,1
neptune,neptune,0.64044565,1
neptune,neptune,0.56615746,1
normal,normal,0.0016287183,0
portsweep,portsweep,0.5442516,1
normal,normal,0.00523381,0
ipsweep,ipsweep,0.43141335,1
normal,normal,0.0033167715,0
normal,normal,0.015395053,0
normal,normal,0.00065117166,0
normal,normal,0.0022992336,0
normal,normal,0.008057535,0
normal,normal,0.0039425124,0
neptune,neptune,0.7488172,1
normal,normal,0.008240917,0
satan,satan,1.5015373,1
satan,satan,0.12555031,1
normal,normal,0.012005135,0
normal,normal,0.0013718714,0
neptune,neptune,0.6803965,1
teardrop,teardrop,3.7301848,1
neptune,neptune,0.42375445,1
normal,warezclient,0.1218181,1
normal,normal,0.048983052,0
normal,normal,0.00094717887,0
neptune,neptune,0.6764271,1
normal,normal,0.013204306,0
neptune,neptune,0.47577557,1
back,back,0.07006272,1
normal,normal,0.0007812613,0
normal,ipsweep,0.15903792,1
normal,normal,0.0024922248,0
neptune,neptune,0.49589473,1
neptune,neptune,0.57156146,1
normal,normal,0.04716664,0
normal,normal,0.002389213,0
normal,normal,0.00039822617,0
normal,normal,0.0011318045,0
normal,normal,0.019055927,0
normal,normal,0.013634616,0
normal,normal,0.051736802,0
neptune,neptune,0.6790945,1
neptune,neptune,0.6098223,1
guess_passwd,guess_passwd,1.2005148,1
normal,normal,0.052067783,0
normal,normal,0.00064163265,0
normal,nmap,0.06345561,1
neptune,neptune,0.5789506,1
normal,loadmodule,0.18567815,1
portsweep,portsweep,0.60743994,1
neptune,neptune,0.6398861,1
normal,normal,0.02694652,0
normal,phf,0.11646893,1
normal,normal,0.0013992891,0
normal,normal,0.001135573,0
normal,normal,0.009143713,0
normal,normal,0.011898578,0
neptune,neptune,0.52513605,1
normal,normal,0.016476925,0
teardrop,teardrop,3.7546515,1
neptune,neptune,0.3471371,1
normal,normal,0.03359225,0
neptune,neptune,0.6639271,1
satan,satan,0.5827359,1
neptune,neptune,0.32852972,1
normal,normal,0.0036482094,0
neptune,neptune,0.6774766,1
neptune,neptune,0.6632337,1
normal,normal,0.0015296476,0
neptune,neptune,0.5970958,1
normal,normal,0.00594878,0
warezclient,normal,0.038067345,0
neptune,neptune,0.7177159,1
normal,normal,0.034429625,0
normal,normal,0.005446007,0
normal,normal,0.011441964,0
normal,normal,0.0039990745,0
normal,normal,0.0030998776,0
neptune,neptune,0.6199801,1
neptune,neptune,0.6402451,1
normal,normal,0.0013546791,0
normal,normal,0.0064749517,0
normal,normal,0.009642922,0
normal,normal,0.0006635461,0
normal,normal,0.007816868,0
normal,normal,0.0019294202,0
neptune,neptune,0.3414045,1
neptune,neptune,0.44086385,1
normal,normal,0.0017637352,0
normal,normal,0.010787769,0
normal,normal,0.0015939582,0
neptune,neptune,0.7374592,1
neptune,neptune,0.58331543,1
normal,normal,0.01747089,0
smurf,smurf,0.27434695,1
neptune,neptune,0.5850559,1
neptune,neptune,0.6698708,1
normal,normal,0.0065225004,0
neptune,neptune,0.59442025,1
normal,normal,0.0015501612,0
normal,normal,0.0020738114,0
normal,normal,0.004573312,0
smurf,smurf,0.38155147,1
normal,normal,0.0026875702,0
neptune,neptune,0.59375536,1
neptune,neptune,0.70713425,1
normal,normal,0.030256188,0
neptune,neptune,0.58609504,1
neptune,neptune,0.6327726,1
back,normal,0.034817982,0
portsweep,portsweep,0.1562347,1
neptune,neptune,0.44967967,1
teardrop,teardrop,3.6959863,1
ipsweep,ipsweep,0.40461552,1
neptune,neptune,0.45536304,1
neptune,neptune,0.5779475,1
normal,normal,0.00311437,0
neptune,neptune,0.43046826,1
normal,normal,0.005225809,0
neptune,neptune,0.7312973,1
neptune,neptune,0.4638589,1
normal,normal,0.0013044303,0
warezclient,normal,0.03842331,0
neptune,neptune,0.5817028,1
neptune,neptune,0.6847895,1
neptune,neptune,0.72271097,1
normal,normal,0.0014865849,0
normal,normal,0.00050479674,0
normal,normal,0.018341428,0
neptune,neptune,0.58484924,1
portsweep,portsweep,0.5530952,1
warezclient,normal,0.034332853,0
portsweep,portsweep,0.34869805,1
normal,warezclient,0.1329293,1
neptune,neptune,0.7080356,1
ipsweep,ipsweep,0.33570266,1
normal,normal,0.0015090593,0
normal,normal,0.008312337,0
normal,normal,0.031228648,0
portsweep,portsweep,0.64348614,1
normal,normal,0.020680252,0
smurf,normal,0.023091685,0
neptune,neptune,0.5201549,1
normal,normal,0.0008083656,0
neptune,neptune,0.7107813,1
normal,normal,0.0012261419,0
neptune,neptune,0.59311056,1
neptune,neptune,0.62182385,1
neptune,neptune,0.71976644,1
neptune,neptune,0.5518917,1
neptune,neptune,0.5218702,1
normal,normal,0.0013213359,0
neptune,neptune,0.72300464,1
normal,normal,0.0062452178,0
normal,normal,0.00054492196,0
normal,normal,0.037694875,0
normal,normal,0.05448082,0
normal,normal,0.009776125,0
normal,normal,0.012471161,0
normal,normal,0.012289864,0
neptune,neptune,0.31079128,1
portsweep,portsweep,1.2000377,1
neptune,neptune,0.6008696,1
normal,normal,0.0013729834,0
neptune,neptune,0.6699667,1
normal,normal,0.004204264,0
neptune,neptune,0.5971598,1
normal,normal,0.0007736952,0
normal,normal,0.0047620824,0
neptune,neptune,0.5433354,1
normal,buffer_overflow,0.06349729,1
normal,normal,0.010433664,0
normal,normal,0.0011998347,0
neptune,neptune,0.6522118,1
normal,normal,0.0038164563,0
normal,normal,0.002420208,0
normal,normal,0.0031028038,0
portsweep,portsweep,0.798145,1
neptune,neptune,0.6870899,1
normal,normal,0.0056004724,0
neptune,neptune,0.6999871,1
normal,normal,0.0016874783,0
normal,normal,0.0015851725,0
ipsweep,ipsweep,0.336812,1
normal,normal,0.00761874,0
normal,normal,0.0010833917,0
satan,satan,0.40658972,1
normal,normal,0.0004927938,0
neptune,neptune,0.6743882,1
normal,normal,0.0054038735,0
neptune,neptune,0.34759226,1
normal,normal,0.0072906283,0
neptune,neptune,0.58046186,1
normal,normal,0.011368529,0
normal,nmap,0.16761298,1
normal,warezclient,0.34093893,1
portsweep,portsweep,0.155723,1
normal,normal,0.0013630561,0
neptune,neptune,0.69786644,1
normal,normal,0.00059216196,0
neptune,neptune,0.7298387,1
neptune,neptune,0.6733967,1
normal,normal,0.0009346437,0
neptune,neptune,0.5137884,1
normal,normal,0.005328394,0
satan,normal,0.024854675,0
neptune,neptune,0.56565434,1
neptune,neptune,0.5857935,1
normal,normal,0.00093632605,0
neptune,neptune,0.66863424,1
neptune,neptune,0.6786745,1
normal,normal,0.008775231,0
smurf,smurf,0.30675393,1
teardrop,teardrop,3.8340337,1
neptune,neptune,0.45582616,1
normal,normal,0.0011123434,0
normal,normal,0.013412709,0
neptune,neptune,0.58154804,1
neptune,neptune,0.5915285,1
normal,normal,0.015393378,0
normal,normal,0.0038134565,0
normal,normal,0.0038930746,0
normal,normal,0.015284132,0
normal,normal,0.00058402825,0
neptune,neptune,0.57385874,1
neptune,neptune,0.5353629,1
normal,imap,0.20665641,1
neptune,neptune,0.5591593,1
ipsweep,ipsweep,0.26557228,1
neptune,neptune,0.70729506,1
neptune,neptune,0.69630057,1
neptune,neptune,0.57352895,1
neptune,neptune,0.59437925,1
normal,normal,0.0007042915,0
normal,normal,0.0018218281,0
neptune,neptune,0.67539,1
neptune,neptune,0.6608947,1
neptune,neptune,0.3221031,1
satan,satan,0.15737657,1
normal,normal,0.00046907904,0
normal,normal,0.039692014,0
portsweep,portsweep,0.2956392,1
normal,normal,0.053587895,0
normal,normal,0.0113944,0
normal,normal,0.0020345468,0
nmap,nmap,0.13574494,1
normal,normal,0.035577748,0
neptune,neptune,0.642803,1
neptune,neptune,0.66748327,1
normal,normal,0.009321554,0
smurf,normal,0.04138585,0
nmap,nmap,0.14140606,1
portsweep,portsweep,0.29268366,1
neptune,neptune,0.5938881,1
satan,satan,0.9069858,1
normal,normal,0.0048621153,0
portsweep,portsweep,0.42921066,1
normal,normal,0.033184756,0
