actual_label,predicted_label,error,is_anomaly
neptune,neptun,0.6934379,1
neptune,neptun,0.50326765,1
normal,normal,0.03382586,0
neptune,neptun,0.3249664,1
normal,normal,0.0020150444,0
normal,normal,0.0028124305,0
neptune,neptun,0.604797,1
normal,normal,0.051806916,0
normal,apache,0.16186456,1
neptune,neptun,0.7252934,1
neptune,neptun,0.65054625,1
neptune,neptun,0.7303813,1
normal,normal,0.0026847345,0
neptune,neptun,0.32656297,1
neptune,neptun,0.69835514,1
satan,satan,0.15377343,1
teardrop,teardr,3.6979823,1
normal,normal,0.0013442627,0
smurf,smurf,0.20406021,1
normal,normal,0.037185326,0
normal,normal,0.01967278,0
ipsweep,ipswee,0.9165598,1
normal,normal,0.0049426896,0
smurf,smurf,0.2003654,1
neptune,neptun,0.55886424,1
normal,normal,0.001286461,0
normal,normal,0.007230144,0
normal,normal,0.0023499783,0
normal,normal,0.0016992096,0
normal,normal,0.009128405,0
normal,normal,0.00065701595,0
normal,normal,0.0009237823,0
neptune,neptun,0.32174763,1
normal,normal,0.0023857001,0
neptune,neptun,0.6427879,1
neptune,neptun,0.61413926,1
normal,normal,0.0033133235,0
normal,normal,0.0022341213,0
smurf,smurf,0.23454076,1
teardrop,teardr,3.7226896,1
neptune,neptun,0.5999441,1
normal,normal,0.0008525096,0
normal,normal,0.009793519,0
normal,normal,0.0059106415,0
neptune,neptun,0.57742006,1
neptune,neptun,0.5241257,1
neptune,neptun,0.711529,1
normal,normal,0.0009463984,0
neptune,neptun,0.27218083,1
normal,normal,0.001043825,0
neptune,neptun,0.65106124,1
neptune,neptun,0.68550134,1
normal,normal,0.038517624,0
normal,apache,0.10519372,1
neptune,neptun,0.5516127,1
normal,normal,0.0023713366,0
normal,normal,0.0010446123,0
neptune,neptun,0.57635766,1
back,normal,0.049857836,0
neptune,neptun,0.6474966,1
normal,normal,0.007845269,0
normal,normal,0.0038230317,0
neptune,neptun,0.6443616,1
normal,normal,0.0132001825,0
neptune,neptun,0.3229252,1
normal,normal,0.003043333,0
neptune,neptun,0.6537437,1
normal,normal,0.0097403545,0
normal,normal,0.030828068,0
neptune,neptun,0.60478777,1
ipsweep,ipswee,0.23662823,1
normal,normal,0.008817561,0
neptune,neptun,0.35339236,1
neptune,neptun,0.6385888,1
neptune,neptun,0.7024894,1
normal,normal,0.00090359023,0
portsweep,portsw,0.22424228,1
normal,normal,0.002523845,0
normal,normal,0.0038116556,0
satan,satan,1.2124217,1
neptune,neptun,0.6969663,1
normal,normal,0.008695926,0
neptune,neptun,0.59604627,1
normal,normal,0.026385862,0
normal,normal,0.008999132,0
normal,normal,0.048024192,0
normal,normal,0.02336955,0
neptune,neptun,0.58822465,1
normal,normal,0.023300821,0
normal,normal,0.05805532,0
normal,normal,0.0010949951,0
normal,normal,0.0008300932,0
normal,normal,0.0041831993,0
normal,normal,0.038932532,0
neptune,neptun,0.63821155,1
normal,normal,0.0012351848,0
normal,normal,0.011315296,0
normal,normal,0.071460985,0
warezclient,warezc,0.14314468,1
ipsweep,ipswee,0.23381002,1
normal,normal,0.0053902436,0
portsweep,portsw,0.8014622,1
normal,warezc,0.101684265,1
normal,normal,0.035617407,0
normal,normal,0.0019032612,0
normal,normal,0.0008375169,0
normal,normal,0.0011527532,0
normal,saint,0.09490662,1
neptune,neptun,0.70047903,1
neptune,neptun,0.5686766,1
normal,normal,0.0009108133,0
normal,normal,0.008656086,0
neptune,neptun,0.6563482,1
normal,normal,0.0032749765,0
neptune,neptun,0.52811414,1
normal,normal,0.0051638596,0
normal,normal,0.030112313,0
normal,warezc,0.15753697,1
neptune,neptun,0.6570611,1
normal,snmpge,0.09383156,1
portsweep,portsw,0.61613005,1
neptune,neptun,0.4438074,1
satan,satan,0.14575522,1
neptune,neptun,0.6048526,1
neptune,neptun,0.6914237,1
normal,snmpge,0.18541752,1
neptune,neptun,0.5535464,1
normal,back,0.25128162,1
neptune,neptun,0.5479552,1
normal,warezc,0.08793333,1
neptune,neptun,0.35297802,1
normal,normal,0.004410582,0
neptune,neptun,0.675121,1
neptune,neptun,0.5866292,1
normal,normal,0.006778107,0
normal,normal,0.010635526,0
normal,normal,0.0014452543,0
normal,normal,0.004234303,0
normal,normal,0.002314754,0
neptune,neptun,0.6009043,1
normal,normal,0.020602226,0
neptune,neptun,0.52640116,1
warezclient,normal,0.072402485,0
ipsweep,ipswee,0.25092164,1
normal,normal,0.002362654,0
neptune,neptun,0.5335248,1
normal,normal,0.03221096,0
normal,normal,0.034771223,0
ipsweep,ipswee,0.4158923,1
neptune,neptun,0.58971614,1
neptune,neptun,0.31661916,1
neptune,neptun,0.6680317,1
normal,normal,0.04789457,0
neptune,neptun,0.4352661,1
normal,normal,0.003516254,0
normal,normal,0.0018542059,0
neptune,neptun,0.70986676,1
neptune,neptun,0.5593204,1
normal,normal,0.0026393477,0
smurf,normal,0.039434806,0
neptune,neptun,0.6538055,1
normal,normal,0.0024880432,0
ipsweep,normal,0.080306344,0
neptune,neptun,0.59104097,1
neptune,neptun,0.5754266,1
neptune,neptun,0.70379907,1
normal,normal,0.0012632326,0
normal,normal,0.05054813,0
normal,normal,0.030211326,0
neptune,neptun,0.53835565,1
normal,normal,0.004518409,0
normal,normal,0.006516239,0
normal,normal,0.0062253233,0
warezclient,warezc,0.12449571,1
neptune,neptun,0.39406532,1
normal,normal,0.003242649,0
normal,normal,0.021141654,0
normal,normal,0.08329448,0
ipsweep,ipswee,0.39239138,1
normal,normal,0.0033298675,0
normal,normal,0.0008376126,0
neptune,neptun,0.6855351,1
normal,normal,0.00040030893,0
portsweep,portsw,1.8308328,1
neptune,neptun,0.65449613,1
normal,mscan,0.12274617,1
normal,normal,0.00921984,0
neptune,neptun,0.67089355,1
normal,normal,0.024403058,0
neptune,neptun,0.58118594,1
normal,normal,0.020443361,0
neptune,neptun,0.58391064,1
neptune,neptun,0.56304705,1
normal,normal,0.04601888,0
neptune,neptun,0.5949529,1
ipsweep,ipswee,0.33429453,1
normal,normal,0.000918408,0
portsweep,portsw,0.5695576,1
neptune,neptun,0.60721046,1
back,normal,0.05287016,0
normal,normal,0.0008302762,0
neptune,neptun,0.40015137,1
normal,normal,0.0014157691,0
neptune,neptun,0.42306253,1
normal,normal,0.0029750322,0
normal,normal,0.00555861,0
normal,normal,0.004007431,0
neptune,neptun,0.58651364,1
ipsweep,ipswee,0.9363538,1
normal,normal,0.0022468264,0
normal,normal,0.013304543,0
back,normal,0.025361056,0
normal,normal,0.03375813,0
portsweep,portsw,0.433606,1
portsweep,portsw,0.78328735,1
normal,normal,0.0033563243,0
neptune,neptun,0.5892129,1
neptune,neptun,0.5858366,1
neptune,neptun,0.7144165,1
neptune,neptun,0.6492146,1
normal,normal,0.008789551,0
neptune,neptun,0.28539267,1
normal,normal,0.040151764,0
portsweep,portsw,0.7922537,1
normal,normal,0.066832975,0
normal,normal,0.0024887498,0
neptune,neptun,0.7094423,1
normal,normal,0.038905643,0
normal,normal,0.0020502268,0
normal,normal,0.0028133672,0
neptune,neptun,0.72707415,1
normal,normal,0.002651701,0
neptune,neptun,0.49864468,1
normal,normal,0.0023957335,0
normal,normal,0.0010780602,0
portsweep,portsw,0.1547983,1
normal,normal,0.04121025,0
neptune,neptun,0.73327416,1
neptune,neptun,0.61827457,1
neptune,neptun,0.6424467,1
neptune,neptun,0.57012504,1
normal,normal,0.0027589637,0
portsweep,portsw,0.56095904,1
normal,normal,0.0044470564,0
ipsweep,ipswee,0.39451805,1
normal,normal,0.0030505788,0
normal,normal,0.018604895,0
normal,normal,0.0010262508,0
normal,normal,0.0032220222,0
normal,normal,0.009733868,0
normal,normal,0.003302838,0
neptune,neptun,0.7395628,1
normal,normal,0.007149959,0
satan,satan,1.2649812,1
satan,satan,0.1453859,1
normal,normal,0.008836686,0
normal,normal,0.0024517193,0
neptune,neptun,0.67932206,1
teardrop,teardr,3.741592,1
neptune,neptun,0.39427263,1
normal,normal,0.056457337,0
normal,normal,0.048091736,0
normal,normal,0.0011387892,0
neptune,neptun,0.67351836,1
normal,normal,0.019216696,0
neptune,neptun,0.44577798,1
back,normal,0.07741444,0
normal,normal,0.0008088488,0
normal,apache,0.1318011,1
normal,normal,0.0044163545,0
neptune,neptun,0.49972108,1
neptune,neptun,0.57599056,1
normal,normal,0.076340124,0
normal,normal,0.002022021,0
normal,normal,0.0004680757,0
normal,normal,0.0023902587,0
normal,normal,0.056455154,0
normal,normal,0.019673238,0
normal,normal,0.063175574,0
neptune,neptun,0.67765445,1
neptune,neptun,0.6136135,1
guess_passwd,guess_,1.2390565,1
normal,ipswee,0.13739103,1
normal,normal,0.0010313339,0
normal,normal,0.071828924,0
neptune,neptun,0.5840635,1
normal,loadmo,0.19282839,1
portsweep,portsw,0.39305082,1
neptune,neptun,0.64283687,1
normal,normal,0.03956033,0
normal,phf,0.10371747,1
normal,normal,0.0022674932,0
normal,normal,0.0010805434,0
normal,normal,0.013910736,0
normal,normal,0.032611113,0
neptune,neptun,0.5216425,1
normal,normal,0.018240174,0
teardrop,teardr,3.757185,1
neptune,neptun,0.3219569,1
normal,normal,0.050548125,0
neptune,neptun,0.66138065,1
satan,satan,0.4809197,1
neptune,neptun,0.30423912,1
normal,normal,0.0056200842,0
neptune,neptun,0.6730707,1
neptune,neptun,0.66426736,1
normal,normal,0.0025003422,0
neptune,neptun,0.5950926,1
normal,normal,0.0077428506,0
warezclient,normal,0.06214111,0
neptune,neptun,0.70693225,1
normal,normal,0.05831561,0
normal,normal,0.0067456984,0
normal,normal,0.0100132665,0
normal,normal,0.0047187624,0
normal,normal,0.005254299,0
neptune,neptun,0.6227032,1
neptune,neptun,0.642417,1
normal,normal,0.0014666222,0
normal,normal,0.007230144,0
normal,normal,0.008274912,0
normal,normal,0.00078699534,0
normal,normal,0.006129598,0
normal,normal,0.0029027483,0
neptune,neptun,0.32552943,1
neptune,neptun,0.4104965,1
normal,normal,0.0032049138,0
normal,normal,0.0123086395,0
normal,normal,0.0027228117,0
neptune,neptun,0.74960953,1
neptune,neptun,0.58868635,1
normal,normal,0.0333045,0
smurf,smurf,0.29319352,1
neptune,neptun,0.5924901,1
neptune,neptun,0.6662608,1
normal,normal,0.009846632,0
neptune,neptun,0.600544,1
normal,normal,0.003120307,0
normal,normal,0.001837588,0
normal,normal,0.0056317896,0
smurf,smurf,0.3792899,1
normal,normal,0.0022905618,0
neptune,neptun,0.59977865,1
neptune,neptun,0.7043492,1
normal,normal,0.031725813,0
neptune,neptun,0.5907846,1
neptune,neptun,0.63109535,1
back,normal,0.04174835,0
portsweep,portsw,0.14780134,1
neptune,neptun,0.4206853,1
teardrop,teardr,3.6992614,1
ipsweep,ipswee,0.3155874,1
neptune,neptun,0.48034638,1
neptune,neptun,0.58528477,1
normal,normal,0.0034445552,0
neptune,neptun,0.40299425,1
normal,normal,0.0049741413,0
neptune,neptun,0.7233128,1
neptune,neptun,0.43338937,1
normal,normal,0.0013332171,0
warezclient,normal,0.062538266,0
neptune,neptun,0.58526,1
neptune,neptun,0.6831055,1
neptune,neptun,0.7154831,1
normal,normal,0.0027682849,0
normal,normal,0.00055900705,0
normal,normal,0.042935323,0
neptune,neptun,0.58748,1
portsweep,portsw,0.63077486,1
warezclient,normal,0.06018026,0
portsweep,portsw,0.2847453,1
normal,normal,0.07680855,0
neptune,neptun,0.6987138,1
ipsweep,ipswee,0.26168996,1
normal,normal,0.0024599803,0
normal,normal,0.01230305,0
normal,normal,0.027110709,0
portsweep,portsw,0.7010477,1
normal,normal,0.027702332,0
smurf,normal,0.060193025,0
neptune,neptun,0.5349625,1
normal,normal,0.0016843233,0
neptune,neptun,0.69871736,1
normal,normal,0.0017511653,0
neptune,neptun,0.5972396,1
neptune,neptun,0.6229345,1
neptune,neptun,0.7089009,1
neptune,neptun,0.5579552,1
neptune,neptun,0.5198077,1
normal,normal,0.0022034799,0
neptune,neptun,0.7166993,1
normal,normal,0.009993426,0
normal,normal,0.00133267,0
normal,normal,0.02297055,0
normal,normal,0.07038417,0
normal,normal,0.015586428,0
normal,normal,0.014659858,0
normal,normal,0.01741766,0
neptune,neptun,0.28456235,1
portsweep,portsw,0.8439792,1
neptune,neptun,0.6057989,1
normal,normal,0.0013420135,0
neptune,neptun,0.66804415,1
normal,normal,0.00499524,0
neptune,neptun,0.60416716,1
normal,normal,0.0012256163,0
normal,normal,0.0068129827,0
neptune,neptun,0.5436027,1
normal,normal,0.065005444,0
normal,normal,0.03334639,0
normal,normal,0.0022039197,0
neptune,neptun,0.6508834,1
normal,normal,0.0032607438,0
normal,normal,0.003159232,0
normal,normal,0.0035268073,0
portsweep,portsw,0.49520206,1
neptune,neptun,0.68627393,1
normal,normal,0.010323874,0
neptune,neptun,0.6947586,1
normal,normal,0.00224654,0
normal,normal,0.002680564,0
ipsweep,ipswee,0.2648103,1
normal,normal,0.009147832,0
normal,normal,0.001419776,0
satan,satan,0.35380343,1
normal,normal,0.00050062605,0
neptune,neptun,0.6741634,1
normal,normal,0.007169678,0
neptune,neptun,0.32986116,1
normal,normal,0.009074936,0
neptune,neptun,0.58587056,1
normal,normal,0.009469219,0
normal,nmap,0.117804945,1
normal,mscan,0.31139684,1
portsweep,portsw,0.15562288,1
normal,normal,0.002460011,0
neptune,neptun,0.6946638,1
normal,normal,0.0008796359,0
neptune,neptun,0.72215164,1
neptune,neptun,0.6708171,1
normal,normal,0.0014111119,0
neptune,neptun,0.51768357,1
normal,normal,0.0073282756,0
satan,normal,0.033675924,0
neptune,neptun,0.57355356,1
neptune,neptun,0.59425503,1
normal,normal,0.0012999352,0
neptune,neptun,0.6682417,1
neptune,neptun,0.67778784,1
normal,normal,0.011676218,0
smurf,smurf,0.3160877,1
teardrop,teardr,3.8363435,1
neptune,neptun,0.429709,1
normal,normal,0.000876052,0
normal,normal,0.021495437,0
neptune,neptun,0.5838656,1
neptune,neptun,0.5930719,1
normal,normal,0.018804794,0
normal,normal,0.005159829,0
normal,normal,0.0039606914,0
normal,normal,0.021313602,0
normal,normal,0.0014056539,0
neptune,neptun,0.5766979,1
neptune,neptun,0.52869016,1
normal,apache,0.18375023,1
neptune,neptun,0.56388235,1
ipsweep,ipswee,0.24543175,1
neptune,neptun,0.7018216,1
neptune,neptun,0.6929418,1
neptune,neptun,0.57899207,1
neptune,neptun,0.598077,1
normal,normal,0.0018846607,0
normal,normal,0.0024630993,0
neptune,neptun,0.6752296,1
neptune,neptun,0.6630547,1
neptune,neptun,0.30556598,1
satan,satan,0.16094281,1
normal,normal,0.00083605474,0
normal,normal,0.04363009,0
portsweep,portsw,0.41328138,1
normal,normal,0.05176375,0
normal,normal,0.0032313566,0
normal,normal,0.0029120897,0
nmap,nmap,0.12989762,1
normal,normal,0.04271846,0
neptune,neptun,0.64517736,1
neptune,neptun,0.6637375,1
normal,normal,0.00958396,0
smurf,normal,0.056083705,0
nmap,nmap,0.14615484,1
portsweep,portsw,0.55255705,1
neptune,neptun,0.6014905,1
satan,satan,0.71199167,1
normal,normal,0.0054788715,0
portsweep,portsw,0.45677918,1
normal,normal,0.057030804,0
normal,normal,0.027312988,0
neptune,neptun,0.6916268,1
normal,normal,0.0012350545,0
neptune,neptun,0.60121346,1
normal,normal,0.002671336,0
portsweep,portsw,0.30706033,1
smurf,normal,0.05372656,0
neptune,neptun,0.6855136,1
neptune,neptun,0.64407617,1
